"gsid","index_no","station","district","year","month","day","min_temp"
"168","1319","Biratnagar Airport","Morang","2016","01","31","8.4"
"168","1319","Biratnagar Airport","Morang","2016","02","01","13.2"
"168","1319","Biratnagar Airport","Morang","2016","02","02","11.4"
"168","1319","Biratnagar Airport","Morang","2016","02","03","10.6"
"168","1319","Biratnagar Airport","Morang","2016","02","04","8"
"168","1319","Biratnagar Airport","Morang","2016","02","05","9.5"
"168","1319","Biratnagar Airport","Morang","2016","02","06","9.4"
"168","1319","Biratnagar Airport","Morang","2016","02","07","10.3"
"168","1319","Biratnagar Airport","Morang","2016","02","08","11.6"
"168","1319","Biratnagar Airport","Morang","2016","02","09","11.9"
"168","1319","Biratnagar Airport","Morang","2016","02","10","12.5"
"168","1319","Biratnagar Airport","Morang","2016","02","11","10.9"
"168","1319","Biratnagar Airport","Morang","2016","02","12","9.9"
"168","1319","Biratnagar Airport","Morang","2016","02","13","9.9"
"168","1319","Biratnagar Airport","Morang","2016","02","14","11"
"168","1319","Biratnagar Airport","Morang","2016","02","15","12.5"
"168","1319","Biratnagar Airport","Morang","2016","02","16","11.6"
"168","1319","Biratnagar Airport","Morang","2016","02","17","12.2"
"168","1319","Biratnagar Airport","Morang","2016","02","18","12"
"168","1319","Biratnagar Airport","Morang","2016","02","19","15.2"
"168","1319","Biratnagar Airport","Morang","2016","02","20","15.6"
"168","1319","Biratnagar Airport","Morang","2016","02","21","14"
"168","1319","Biratnagar Airport","Morang","2016","02","22","15.5"
"168","1319","Biratnagar Airport","Morang","2016","02","23","13.6"
"168","1319","Biratnagar Airport","Morang","2016","02","24","13.4"
"168","1319","Biratnagar Airport","Morang","2016","02","25","12.3"
"168","1319","Biratnagar Airport","Morang","2016","02","26","16.4"
"168","1319","Biratnagar Airport","Morang","2016","02","27","12.4"
"168","1319","Biratnagar Airport","Morang","2016","02","28","13"
"168","1319","Biratnagar Airport","Morang","2016","02","29","14.5"
"168","1319","Biratnagar Airport","Morang","2016","03","01","14.3"
"168","1319","Biratnagar Airport","Morang","2016","03","02","14.4"
"168","1319","Biratnagar Airport","Morang","2016","03","03","16.3"
"168","1319","Biratnagar Airport","Morang","2016","03","04","16.2"
"168","1319","Biratnagar Airport","Morang","2016","03","05","20.2"
"168","1319","Biratnagar Airport","Morang","2016","03","06","18"
"168","1319","Biratnagar Airport","Morang","2016","03","07","16.2"
"168","1319","Biratnagar Airport","Morang","2016","03","08","19.5"
"168","1319","Biratnagar Airport","Morang","2016","03","09","17.1"
"168","1319","Biratnagar Airport","Morang","2016","03","10","15.7"
"168","1319","Biratnagar Airport","Morang","2016","03","11","16.2"
"168","1319","Biratnagar Airport","Morang","2016","03","12","18"
"168","1319","Biratnagar Airport","Morang","2016","03","13","20.6"
